Thrust, PWM
39.9812, 31075.5693
39.9935, 30562.5541
39.9819, 30451.0316
50.6338, 39654.5525
50.6767, 39952.3766
50.6425, 39564.0109
51.4027, 41058.8400
51.3501, 41126.0557
51.8327, 40619.5981
51.5823, 42700.0238
51.9450, 42586.7282
52.0125, 42266.1642
52.1394, 42931.7396
51.8829, 43166.9203
52.0684, 42423.8235
53.0376, 42883.1324
52.6342, 42931.9336
53.1286, 43077.3384
54.8845, 45870.9494
54.8640, 45076.7739
55.1342, 44892.8814
55.3499, 46009.7217
55.5885, 46643.7221
55.4543, 46093.0284
56.4405, 46994.3515
55.3006, 46745.6735
56.4701, 46633.3494
58.1316, 49448.6529
58.2046, 48527.9265
58.0200, 48402.5129
59.0529, 49932.5531
58.8198, 49478.9099
58.9679, 49394.8150
59.2185, 48924.5275
59.2117, 48565.5723
59.2548, 48624.3802

